Ep 127 | Steps: 300 | Reward: -4.88 | Loss: 0.0779 | Epsilon: 0.279 | Success: NO
Ep 128 | Steps: 300 | Reward: 49.91 | Loss: 0.0924 | Epsilon: 0.276 | Success: NO
Ep 129 | Steps: 300 | Reward: -21.18 | Loss: 0.0852 | Epsilon: 0.273 | Success: NO
Ep 130 | Steps: 300 | Reward: 13.80 | Loss: 0.0934 | Epsilon: 0.271 | Success: NO
Ep 131 | Steps: 300 | Reward: 2.23 | Loss: 0.0895 | Epsilon: 0.268 | Success: NO
Ep 132 | Steps: 300 | Reward: -44.26 | Loss: 0.0945 | Epsilon: 0.265 | Success: NO
Ep 133 | Steps: 300 | Reward: -15.21 | Loss: 0.0895 | Epsilon: 0.263 | Success: NO
Ep 134 | Steps: 300 | Reward: -39.43 | Loss: 0.0952 | Epsilon: 0.260 | Success: NO
Ep 135 | Steps: 300 | Reward: -5.98 | Loss: 0.0842 | Epsilon: 0.257 | Success: NO
Ep 136 | Steps: 300 | Reward: -11.35 | Loss: 0.0881 | Epsilon: 0.255 | Success: NO
Ep 137 | Steps: 57 | Reward: -44.83 | Loss: 0.0765 | Epsilon: 0.252 | Success: NO
Ep 138 | Steps: 300 | Reward: -4.92 | Loss: 0.0836 | Epsilon: 0.250 | Success: NO
Ep 139 | Steps: 300 | Reward: -120.65 | Loss: 0.0841 | Epsilon: 0.247 | Success: NO
Ep 140 | Steps: 300 | Reward: -3.68 | Loss: 0.0859 | Epsilon: 0.245 | Success: NO
Ep 141 | Steps: 300 | Reward: 0.35 | Loss: 0.0961 | Epsilon: 0.242 | Success: NO
Ep 142 | Steps: 300 | Reward: 53.88 | Loss: 0.0884 | Epsilon: 0.240 | Success: YES
Ep 143 | Steps: 300 | Reward: -10.51 | Loss: 0.0858 | Epsilon: 0.238 | Success: NO
Ep 144 | Steps: 300 | Reward: 4.18 | Loss: 0.0923 | Epsilon: 0.235 | Success: NO
Ep 145 | Steps: 300 | Reward: 6.79 | Loss: 0.0891 | Epsilon: 0.233 | Success: NO
Ep 146 | Steps: 300 | Reward: -3.01 | Loss: 0.0859 | Epsilon: 0.231 | Success: NO
Ep 147 | Steps: 300 | Reward: 2.28 | Loss: 0.0844 | Epsilon: 0.228 | Success: NO
Ep 148 | Steps: 300 | Reward: 60.45 | Loss: 0.0877 | Epsilon: 0.226 | Success: YES
Ep 149 | Steps: 300 | Reward: -5.67 | Loss: 0.0857 | Epsilon: 0.224 | Success: NO
Ep 150 | Steps: 300 | Reward: 21.73 | Loss: 0.0861 | Epsilon: 0.221 | Success: NO
Ep 151 | Steps: 300 | Reward: -23.58 | Loss: 0.0918 | Epsilon: 0.219 | Success: NO
Ep 152 | Steps: 300 | Reward: -28.78 | Loss: 0.0904 | Epsilon: 0.217 | Success: NO
Ep 153 | Steps: 300 | Reward: -18.62 | Loss: 0.0946 | Epsilon: 0.215 | Success: NO
Ep 154 | Steps: 300 | Reward: 79.91 | Loss: 0.0872 | Epsilon: 0.213 | Success: YES
Ep 155 | Steps: 300 | Reward: 7.71 | Loss: 0.0982 | Epsilon: 0.211 | Success: NO
Ep 156 | Steps: 300 | Reward: -0.68 | Loss: 0.0895 | Epsilon: 0.208 | Success: NO
Ep 157 | Steps: 300 | Reward: -21.25 | Loss: 0.1011 | Epsilon: 0.206 | Success: NO
Ep 158 | Steps: 300 | Reward: -31.60 | Loss: 0.0944 | Epsilon: 0.204 | Success: NO
Ep 159 | Steps: 300 | Reward: 25.86 | Loss: 0.0990 | Epsilon: 0.202 | Success: NO
Ep 160 | Steps: 54 | Reward: -74.13 | Loss: 0.0798 | Epsilon: 0.200 | Success: NO
Ep 161 | Steps: 300 | Reward: 18.07 | Loss: 0.0925 | Epsilon: 0.198 | Success: NO
Ep 162 | Steps: 300 | Reward: -12.90 | Loss: 0.0841 | Epsilon: 0.196 | Success: NO
Ep 163 | Steps: 300 | Reward: 72.37 | Loss: 0.0868 | Epsilon: 0.194 | Success: YES
Ep 164 | Steps: 300 | Reward: 41.74 | Loss: 0.0937 | Epsilon: 0.192 | Success: NO
Ep 165 | Steps: 300 | Reward: 12.37 | Loss: 0.0989 | Epsilon: 0.190 | Success: NO
